group,team,listed_position
A,Mexico,1
A,South Africa,2
A,South Korea,3
A,Czech Republic,4
B,Canada,1
B,Bosnia and Herzegovina,2
B,Qatar,3
B,Switzerland,4
C,Brazil,1
C,Morocco,2
C,Haiti,3
C,Scotland,4
D,United States,1
D,Paraguay,2
D,Australia,3
D,Turkey,4
E,Germany,1
E,Curaçao,2
E,Ivory Coast,3
E,Ecuador,4
F,Netherlands,1
F,Japan,2
F,Sweden,3
F,Tunisia,4
G,Iran,1
G,New Zealand,2
G,Belgium,3
G,Egypt,4
H,Spain,1
H,Cape Verde,2
H,Saudi Arabia,3
H,Uruguay,4
I,France,1
I,Senegal,2
I,Iraq,3
I,Norway,4
J,Austria,1
J,Jordan,2
J,Argentina,3
J,Algeria,4
K,Portugal,1
K,DR Congo,2
K,Uzbekistan,3
K,Colombia,4
L,England,1
L,Croatia,2
L,Ghana,3
L,Panama,4
