model,class_label,class_name,bin,mean_predicted_probability,observed_frequency
Calibrated Linear SVM,0,Away Win,1,0.02205052221805678,0.020289855072463767
Calibrated Linear SVM,0,Away Win,2,0.058175675816640966,0.07267441860465117
Calibrated Linear SVM,0,Away Win,3,0.0996485133639112,0.10434782608695652
Calibrated Linear SVM,0,Away Win,4,0.14675244781587693,0.16569767441860464
Calibrated Linear SVM,0,Away Win,5,0.20529984360897396,0.2318840579710145
Calibrated Linear SVM,0,Away Win,6,0.27268694661858167,0.2936046511627907
Calibrated Linear SVM,0,Away Win,7,0.3544423741517867,0.37209302325581395
Calibrated Linear SVM,0,Away Win,8,0.4522601536692955,0.4608695652173913
Calibrated Linear SVM,0,Away Win,9,0.5608678790695591,0.502906976744186
Calibrated Linear SVM,0,Away Win,10,0.6757047825687182,0.782608695652174
Calibrated Linear SVM,1,Draw,1,0.12196415190617214,0.10434782608695652
Calibrated Linear SVM,1,Draw,2,0.15798478137410069,0.15988372093023256
Calibrated Linear SVM,1,Draw,3,0.18081163251493512,0.18840579710144928
Calibrated Linear SVM,1,Draw,4,0.19918356974467363,0.22965116279069767
Calibrated Linear SVM,1,Draw,5,0.21643146145816522,0.2492753623188406
Calibrated Linear SVM,1,Draw,6,0.23387084819616846,0.27906976744186046
Calibrated Linear SVM,1,Draw,7,0.24975171107071717,0.24127906976744187
Calibrated Linear SVM,1,Draw,8,0.2666830953962733,0.2463768115942029
Calibrated Linear SVM,1,Draw,9,0.2886508239820706,0.29069767441860467
Calibrated Linear SVM,1,Draw,10,0.32944645146089396,0.3188405797101449
Calibrated Linear SVM,2,Home Win,1,0.06690741499709622,0.07536231884057971
Calibrated Linear SVM,2,Home Win,2,0.17182101774653746,0.18895348837209303
Calibrated Linear SVM,2,Home Win,3,0.28125638144033344,0.25217391304347825
Calibrated Linear SVM,2,Home Win,4,0.38632682483138614,0.3488372093023256
Calibrated Linear SVM,2,Home Win,5,0.47900933381207245,0.45217391304347826
Calibrated Linear SVM,2,Home Win,6,0.5613522768312069,0.47674418604651164
Calibrated Linear SVM,2,Home Win,7,0.638331015206969,0.5581395348837209
Calibrated Linear SVM,2,Home Win,8,0.7063789128868347,0.6985507246376812
Calibrated Linear SVM,2,Home Win,9,0.7699539477422157,0.7441860465116279
Calibrated Linear SVM,2,Home Win,10,0.8461405770220918,0.8898550724637682
