team,current_elo,current_form_goals_for,current_form_goals_against,form_matches_used,latest_match_date
Spain,1901.6554651925117,2.6,0.4,5,2026-03-31
Argentina,1879.6292717627416,3.2,0.2,5,2026-03-31
France,1870.5082607966856,2.8,1.0,5,2026-03-29
England,1823.8005421437836,2.0,0.4,5,2026-03-31
Brazil,1814.0386667371129,1.8,1.4,5,2026-03-31
Japan,1802.3833869291686,2.0,0.4,5,2026-03-31
Portugal,1802.2402623338376,2.6,1.0,5,2026-03-31
Germany,1799.2990256778564,3.0,0.8,5,2026-03-30
Morocco,1798.8278439847095,1.6,0.4,5,2026-03-31
Netherlands,1797.388710208772,2.4,0.6,5,2026-03-31
Iran,1770.760500201272,1.6,0.4,5,2026-03-31
Colombia,1764.1367965503032,1.4,1.2,5,2026-03-29
Italy,1758.3283939201908,1.8,1.0,5,2026-03-31
Senegal,1756.414975182119,1.4,0.8,5,2026-03-31
Belgium,1755.7525373479377,3.6,1.2,5,2026-03-31
South Korea,1753.9963325549156,1.0,1.0,5,2026-03-31
Croatia,1752.654618434397,2.4,1.4,5,2026-03-31
Australia,1747.217558207715,1.4,1.4,5,2026-03-31
Mexico,1742.7410791624475,1.4,0.2,5,2026-03-31
Uruguay,1736.460860526976,0.8,1.4,5,2026-03-31
Algeria,1731.4253986672643,2.2,0.6,5,2026-03-31
United States,1718.0628439233087,2.2,2.0,5,2026-03-31
Switzerland,1715.2607418025625,1.6,1.2,5,2026-03-31
Uzbekistan,1710.492401398083,1.4,0.6,5,2026-03-30
Ecuador,1709.246170913915,1.0,0.6,5,2026-03-31
Egypt,1698.914522049573,1.4,0.6,5,2026-03-31
Denmark,1698.1375361469961,2.6,1.8,5,2026-03-31
Turkey,1695.1863282029449,2.0,0.6,5,2026-03-31
Ivory Coast,1686.230373048202,2.6,1.0,5,2026-03-31
Canada,1684.9582852228332,0.8,0.4,5,2026-03-31
Nigeria,1680.362836315628,1.2,0.6,5,2026-03-31
Russia,1676.0069640989868,1.4,0.8,5,2026-03-31
Tunisia,1673.2000536956868,1.0,1.0,5,2026-03-31
Panama,1672.8697739690037,1.4,0.8,5,2026-03-31
Iraq,1672.501734540355,1.2,1.0,5,2026-03-31
Norway,1660.5787288365743,2.0,1.0,5,2026-03-31
Austria,1659.6097965116217,1.8,0.6,5,2026-03-31
Ukraine,1653.4983407669986,1.2,1.6,5,2026-03-31
Jordan,1653.2438624486385,1.6,1.4,5,2026-03-31
Jersey,1652.8773225047155,2.8,1.8,5,2025-07-18
Costa Rica,1652.1685428386677,1.2,1.8,5,2026-03-31
Cameroon,1643.4826097760651,1.2,1.0,5,2026-03-31
Saudi Arabia,1639.645513485649,0.6,1.8,5,2026-03-31
Serbia,1635.0843958344444,1.4,1.6,5,2026-03-31
Poland,1633.2918102168424,2.0,1.4,5,2026-03-31
Sweden,1631.404336673596,1.6,1.8,5,2026-03-31
Mali,1631.2917593079642,0.4,0.6,5,2026-03-31
Paraguay,1628.8668980607688,1.0,1.4,5,2026-03-31
South Africa,1626.429888683779,1.2,1.6,5,2026-03-31
DR Congo,1623.1269079189558,1.4,0.4,5,2026-03-31
Scotland,1623.0026821215677,1.6,1.6,5,2026-03-31
Wales,1620.7791231240503,2.4,1.4,5,2026-03-31
Hungary,1619.4835974735033,1.2,1.0,5,2026-03-31
Greece,1618.4986419794548,0.8,1.2,5,2026-03-31
Guernsey,1618.4747383244833,1.4,0.8,5,2023-07-13
United Arab Emirates,1617.230520075309,1.2,1.6,5,2025-12-15
Czech Republic,1616.4451362451564,2.4,1.2,5,2026-03-31
Qatar,1615.0600938144723,0.8,1.6,5,2025-12-07
New Zealand,1608.2012800105676,1.2,1.6,5,2026-03-30
Burkina Faso,1606.1123907161073,1.6,1.0,5,2026-03-31
Venezuela,1600.6940162445871,1.0,0.8,5,2026-03-30
Oman,1599.251315389663,0.6,1.0,5,2025-12-08
Haiti,1598.4874944579385,0.8,1.0,5,2026-03-31
Chile,1596.950244667549,2.2,1.6,5,2026-03-30
Jamaica,1595.4430751838486,0.6,0.4,5,2026-03-31
Padania,1592.5050238717802,2.0,1.0,5,2019-06-08
Peru,1590.7593835431423,1.0,1.8,5,2026-03-31
Ghana,1588.9828469540037,0.6,2.0,5,2026-03-30
Isle of Man,1583.8009389814454,4.6,1.4,5,2025-07-18
Honduras,1583.70100993221,1.0,0.8,5,2026-03-31
Slovenia,1582.144704497154,0.8,1.2,5,2026-03-31
Northern Cyprus,1577.9357146345753,3.2,1.0,5,2018-06-09
