team,current_elo,r32_probability,r16_probability,qf_probability,sf_probability,final_probability,champion_probability
Argentina,1879.6292717627416,0.979,0.8465,0.614,0.4575,0.3225,0.232
Spain,1901.655465192512,0.9865,0.8535,0.629,0.4675,0.335,0.2285
France,1870.5082607966856,0.9825,0.8055,0.5355,0.3475,0.22,0.122
England,1823.800542143784,0.963,0.725,0.427,0.2555,0.139,0.077
Netherlands,1797.388710208772,0.9405,0.645,0.374,0.2155,0.1115,0.046
Japan,1802.3833869291689,0.95,0.6695,0.381,0.1875,0.084,0.04
Morocco,1798.8278439847095,0.944,0.6555,0.38,0.204,0.0965,0.039
Germany,1799.2990256778564,0.9455,0.6485,0.383,0.201,0.0955,0.0355
Portugal,1802.2402623338376,0.938,0.6415,0.3385,0.179,0.0845,0.033
Brazil,1814.0386667371129,0.936,0.6325,0.3215,0.1625,0.0645,0.028
Belgium,1755.7525373479375,0.8815,0.4645,0.2425,0.111,0.052,0.019
Iran,1770.760500201272,0.9285,0.583,0.309,0.1475,0.05,0.0175
Mexico,1742.7410791624477,0.8665,0.476,0.232,0.1015,0.0375,0.011
Senegal,1756.414975182119,0.869,0.4655,0.22,0.0855,0.0315,0.0085
Croatia,1752.654618434397,0.853,0.4385,0.195,0.075,0.031,0.0085
South Korea,1753.9963325549156,0.8385,0.4115,0.1815,0.077,0.0265,0.0075
Colombia,1764.1367965503032,0.874,0.4465,0.2145,0.0865,0.032,0.007
Italy,1758.3283939201908,0.8795,0.464,0.214,0.09,0.032,0.007
Algeria,1731.4253986672643,0.824,0.4295,0.195,0.0795,0.027,0.005
Uzbekistan,1710.492401398083,0.749,0.3015,0.1325,0.048,0.0115,0.004
Ecuador,1709.246170913915,0.7045,0.2625,0.109,0.038,0.009,0.004
Australia,1747.217558207715,0.8145,0.357,0.1395,0.052,0.015,0.0035
Uruguay,1736.460860526976,0.8065,0.332,0.135,0.0485,0.015,0.0025
Switzerland,1715.2607418025625,0.708,0.2615,0.098,0.0275,0.0115,0.002
Egypt,1698.914522049573,0.689,0.263,0.0925,0.0265,0.006,0.002
Nigeria,1680.362836315628,0.581,0.1815,0.0645,0.02,0.007,0.0015
Canada,1684.9582852228332,0.6205,0.2105,0.0825,0.0215,0.0055,0.0015
Russia,1676.0069640989868,0.588,0.192,0.063,0.0135,0.0055,0.0015
Denmark,1698.137536146996,0.669,0.195,0.067,0.0155,0.006,0.001
United States,1718.0628439233087,0.762,0.273,0.097,0.024,0.003,0.001
Austria,1659.6097965116217,0.455,0.1325,0.039,0.0095,0.0025,0.001
Turkey,1695.1863282029449,0.6665,0.2465,0.0865,0.027,0.0095,0.0005
Ivory Coast,1686.230373048202,0.6835,0.235,0.0795,0.0265,0.006,0.0005
Norway,1660.5787288365743,0.4475,0.126,0.0335,0.007,0.002,0.0005
Costa Rica,1652.1685428386677,0.276,0.053,0.0095,0.003,0.0015,0.0005
Tunisia,1673.2000536956868,0.5255,0.147,0.04,0.0075,0.0015,0.0005
Panama,1672.8697739690035,0.5205,0.1645,0.0555,0.0145,0.003,0.0
Iraq,1672.501734540355,0.5065,0.1465,0.0435,0.012,0.0025,0.0
Jersey,1652.8773225047155,0.353,0.0825,0.0225,0.0065,0.0015,0.0
Poland,1633.2918102168424,0.242,0.0545,0.017,0.0025,0.001,0.0
Paraguay,1628.8668980607688,0.2105,0.04,0.0075,0.001,0.0005,0.0
Cameroon,1643.4826097760651,0.343,0.088,0.0245,0.0035,0.0005,0.0
Jordan,1653.2438624486383,0.3165,0.0725,0.02,0.0045,0.0005,0.0
Mali,1631.2917593079642,0.2665,0.058,0.0125,0.003,0.0,0.0
Sweden,1631.404336673596,0.2665,0.0615,0.009,0.0015,0.0,0.0
Serbia,1635.0843958344444,0.2665,0.046,0.0065,0.0015,0.0,0.0
Saudi Arabia,1639.645513485649,0.2395,0.0455,0.008,0.0005,0.0,0.0
Ukraine,1653.4983407669986,0.3435,0.069,0.018,0.0025,0.0,0.0
