team,current_elo,r32_probability,r16_probability,qf_probability,sf_probability,final_probability,champion_probability,actual_stage_reached,actual_finish,actual_stage_numeric,champion_probability_rank
Spain,1901.6554651925117,0.992,0.883,0.64,0.475,0.3525,0.257,Champion,Champion,6,1
Argentina,1879.6292717627416,0.9835,0.8475,0.615,0.47,0.3265,0.212,Final,Runner-up,5,2
France,1870.5082607966856,0.9705,0.7975,0.523,0.3625,0.2235,0.1245,SF,Fourth,4,3
England,1823.8005421437836,0.9705,0.751,0.46,0.262,0.144,0.074,SF,Third,4,4
Netherlands,1797.388710208772,0.93,0.626,0.3845,0.2125,0.106,0.0475,R32,R32,1,5
Japan,1802.3833869291686,0.9495,0.6725,0.3975,0.221,0.105,0.0445,R32,R32,1,6
Portugal,1802.2402623338376,0.9255,0.632,0.3535,0.1865,0.083,0.035,R16,R16,2,7
Brazil,1814.0386667371129,0.948,0.6375,0.3335,0.165,0.0745,0.034,R16,R16,2,8
Germany,1799.2990256778564,0.9685,0.6825,0.3785,0.1875,0.087,0.0305,R32,R32,1,9
Morocco,1798.8278439847095,0.9515,0.66,0.3805,0.205,0.09,0.03,QF,QF,3,10
Iran,1770.760500201272,0.9155,0.575,0.299,0.144,0.0655,0.0275,Group,Group,0,11
Mexico,1742.7410791624475,0.9355,0.5305,0.272,0.1135,0.0415,0.0135,R16,R16,2,12
Belgium,1755.7525373479377,0.897,0.508,0.2545,0.1115,0.041,0.0125,QF,QF,3,13
Senegal,1756.414975182119,0.841,0.4795,0.216,0.089,0.0375,0.0105,R32,R32,1,14
South Korea,1753.9963325549156,0.908,0.478,0.2165,0.089,0.028,0.008,Group,Group,0,15
Colombia,1764.1367965503032,0.8325,0.4515,0.2115,0.092,0.0285,0.0075,R16,R16,2,16
Croatia,1752.654618434397,0.884,0.4465,0.209,0.0745,0.0225,0.007,R32,R32,1,17
Uruguay,1736.460860526976,0.8785,0.377,0.1525,0.053,0.0155,0.005,Group,Group,0,18
Australia,1747.217558207715,0.882,0.4245,0.1625,0.055,0.018,0.0045,R32,R32,1,19
Algeria,1731.4253986672643,0.8185,0.4035,0.1835,0.075,0.022,0.003,R32,R32,1,20
Switzerland,1715.2607418025625,0.917,0.39,0.1465,0.0445,0.0145,0.0025,QF,QF,3,21
Ecuador,1709.246170913915,0.8515,0.343,0.1405,0.047,0.013,0.0015,R32,R32,1,22
Egypt,1698.914522049573,0.75,0.285,0.109,0.0305,0.0095,0.0015,R16,R16,2,22
Canada,1684.9582852228332,0.89,0.3535,0.1315,0.0365,0.008,0.0015,R16,R16,2,22
United States,1718.0628439233087,0.758,0.2855,0.107,0.032,0.0065,0.001,R16,R16,2,25
Uzbekistan,1710.492401398083,0.705,0.2925,0.1215,0.032,0.0065,0.001,Group,Group,0,25
Panama,1672.8697739690037,0.6745,0.2055,0.0655,0.0135,0.0025,0.001,Group,Group,0,25
Turkey,1695.1863282029449,0.8015,0.3255,0.126,0.0425,0.0115,0.0005,Group,Group,0,28
Ivory Coast,1686.230373048202,0.788,0.282,0.0905,0.019,0.005,0.0005,R32,R32,1,28
Czech Republic,1616.4451362451564,0.385,0.0835,0.017,0.0035,0.0005,0.0005,Group,Group,0,28
Paraguay,1628.8668980607688,0.3395,0.062,0.017,0.0045,0.0005,0.0005,R16,R16,2,28
Norway,1660.5787288365743,0.4185,0.1135,0.0335,0.0075,0.0025,0.0,QF,QF,3,32
Tunisia,1673.2000536956868,0.568,0.145,0.0485,0.012,0.002,0.0,Group,Group,0,32
Austria,1659.6097965116217,0.52,0.1385,0.036,0.0055,0.001,0.0,R32,R32,1,32
DR Congo,1623.1269079189558,0.3075,0.081,0.022,0.0035,0.001,0.0,R32,R32,1,32
Jordan,1653.2438624486385,0.339,0.083,0.022,0.0045,0.001,0.0,Group,Group,0,32
Iraq,1672.501734540355,0.4915,0.139,0.037,0.006,0.0005,0.0,Group,Group,0,32
New Zealand,1608.2012800105676,0.1865,0.0255,0.0065,0.0005,0.0005,0.0,Group,Group,0,32
Qatar,1615.0600938144723,0.4705,0.0825,0.017,0.002,0.0005,0.0,Group,Group,0,32
Saudi Arabia,1639.645513485649,0.462,0.0885,0.0155,0.0035,0.0005,0.0,Group,Group,0,32
Scotland,1623.0026821215677,0.345,0.0715,0.014,0.002,0.0005,0.0,Group,Group,0,32
Bosnia and Herzegovina,1530.0850867911165,0.257,0.0345,0.002,0.0,0.0,0.0,R32,R32,1,32
Cape Verde,1570.8967296522578,0.221,0.0395,0.004,0.0,0.0,0.0,R32,R32,1,32
Curaçao,1529.7126692164754,0.1095,0.01,0.0005,0.0,0.0,0.0,Group,Group,0,32
Ghana,1588.9828469540037,0.1455,0.016,0.0,0.0,0.0,0.0,R32,R32,1,32
Haiti,1598.4874944579385,0.2505,0.0425,0.005,0.0005,0.0,0.0,Group,Group,0,32
South Africa,1626.429888683779,0.395,0.0705,0.013,0.002,0.0,0.0,R32,R32,1,32
Sweden,1631.404336673596,0.271,0.0475,0.0085,0.0015,0.0,0.0,R32,R32,1,32
